Date ,Rate ,Topic ,Review ,Type  
2018/07,5,"OMG

","I have been in the Louvre and in The Met and in the V&A, and the Smithsonian and more, and I can safely say this is a VERY impressive museum. It's like a Mini Met with coverage of so many diverse geographic areas and time periods and styles. I could go on and on, but I think that pretty much says it. Just do it, and you will not be disappointed.

This museum is actually housed in a collection of neighboring buildings connected by interior walkways. Plan to spend at least half a day, and a full day if you're a serious fan of fine arts and crafts for the past 4000 years, and everything in between.",Family
2018/07,5,FREE Admission on Sundays!,Great museum. Must check out the students' exhibits and the museum store. It's deceiving large inside so be sure not to miss anything.,
2018/07,2,Caucasian Males Beware,"My wife and I have been to numerous museums in the United States and Europe but never have we encountered such hostility toward caucasians, particularly males, as we did at this museum. In addition, most of the art seemed sophomoric to us and not particularly good. I will say that the people who work in this museum were friendly and helpful, but we would never consider returning due to the hostility exhibited by the paintings that were everywhere in this museum.",couple
2018/07,5,Free Admission on Sunday,"I hadn't done as much planning as I had hoped to for our time in Providence, so I was happily surprised that admission on Sunday is free as was our street parking. Although the entire museum was interesting and contained works by many famous artists (Manet,Monet, Cezanne, Degas to name a few), I enjoyed the special exhibition, The Phantom of Liberty, the most. Many of the pieces were very clever or thought-provoking.",Couple 
2018/07,5,Lots to see,"Our first visit and we were surprised at the breathe and variety of this museum. From student exhibits, Egyptian gallery, early Americana, Impressionism, etc. Needed more time and will return. The current special exhibit, The Phantom of Liberty is excellent.",couple
2018/07,5,"Excellent breadth, limited depth, but a nice overview of art","A wide selection of art from ancient Egypt to the present. Also, some work by RISD students, but there should be even more.",couple
2018/07,5,"Wonderful, Broad Collection","RISD’s art museums popped up in a couple of “best of” lists for college/university art museums and I can see why. It’s a fairly big collection that covers a lot of ground - from ancient Egypt to religious iconography, colonial art, Impressionism, modern art, and even student work is on display. We really enjoyed our visit. Also, as members of our local art museum, which participates in the North American Reciprocal Museum membership program, meaning we get free admission to those fellow museums which includes this one, we have saved a ton of money on our vacation this week. I highly recommend getting one if you frequent museums and gardens.",Family
2018/07,4,Large facility and large variety,"I was surprised at how large this museum was (there are a number of connecting buildings). There was a lot of variety among the exhibits, and I especially enjoyed the balloon sculptures (I'm guessing from a summer camp) on the fence outside. I visited using my NARM reciprocal membership, which was a great deal.",Solo
2018/07,5,Lovely Experience,This was the highlight of our trip to Providence for one day. The RISD is an eclectic collection that is very entertaining. The gift shop is divine. There is a coffee shop. They offer student and senior discounts.,
2018/06,4,Great Museum Associated with The Best Design School,"The building You will find everything from ancient art to textiles. Of course, the buddha is cool. The museum's contemporary collection houses some of the Greats including Picasso, Andy Warhol, Roy Lichtenstein and Bruce Nauman who happens to live in Santa Fe, just like their alum and phenomenal painter, Grant Hayunga. The Chace Center is the main entrance. You may want to double-check, but I believe the museum is closed on Monday and opens at 10am the rest of the week. The highest admission rate is for adults at $15. There is a store inside for your RISD swag. Certainly a well rounded collection without omitting any form of art. Enjoy the garden if the weather is nice.",Friends
2018/07,5,Excellent art gallery and museum.,Wide range of exhibits. We visited the Metropolitan Museum in New York on the same trip and the Rhode Island Museum offers a similar diverse range of exhibits but on a more accessible scale.,couple
2018/07,5,What a surprise,"For a sleepy little city, we were so impressed with this museum. Curated and run by a college (RISD) we were amazed by the quantity and quality of the art. It was way underrated in everything we read and we were amazed. Not only student contributions but works from Picasso, Monet, Manet, Renoir... followed around a group of students and learned more than expected. Don’t miss",Couple
2018/05,5,Marvelous Experience!,The RISD Museum and store are such a terrific place to see the works of budding artists. You can also purchase and take home some of the treasures!,Solo
2018/07,5,"The museum itself is a 4, but free admission on Sundays makes it a 5!","We were in Providence one afternoon (checking Rhode Island off on my states-visited list) and needed something to do. We had taken a red-eye from the West Coast to Boston the previous night and so didn't want anything too strenuous. We all enjoy museums and found out that admission to the RISD museum is free on Sundays! And it is located next to Brown University, whose campus our 16-year old son wanted to see.

The museum has a small but impressive collection of Asian artifacts (including a Japanese palanquin and huge Buddha statue), contemporary art, fashion and furniture (think Frank Lloyd Wright, Alvar Aalto, Diane von Furstenberg, Pollock, and Calder), Egyptian artifacts (including a sarcophagus and mummy), an impressive textile collection, and other European and American art. We greatly enjoyed wandering around to see and read about everything.

There is also a nice coffee shop by the north entrance with indoor and outdoor seating, and a gift shop featuring works by former RISD students by the south entrance. And did I mention that admission is free on Sundays?!! A must see if you're in town on the seventh (or first) day of the week, only a 5 or 10 minute walk from the train station!",Family
2017/10,5,A must see!,"Tucked away right by the river on College Hill, I had passed by so many times without even knowing it was there. Its amazing how a rather large museum can fit in such a small area. The staff are very friendly and the art itself is mesmerizing. Highly recommend it.",Friends
2018/06,5,Interesting Exhibits!,"Very nice exhibit on liberty and the nature of such from various perspectives. Wide variety of media and artistic backgrounds interestingly curated. Also visited another gallery in the museum with a variety of 20th century art and design works-furniture, textiles, mechanisms, etc. Always impressed to see a Picasso in person!",couple
2018/06,5,Good art gallery for a second tier coty,This gallery is worth a visit. Good collection of all types of art over six floors. Considerably above my expectations for a smaller city. Back entrance is on Federal Street which is itself magnificent (the 10am walking tour is really really good -certainly if Scott is the guide). Particularly liked the papal Gay Pride curtain for the month that was in it.,solo
2018/07,5,Interesting site,"Very nice museum. Lots of interesting art to see and if you go on Thursday evenings or Sundays, it is free of charge.",couple
2018/05,5,Do not miss it when you are in Providence!,"What a wonderful surprise - eclectic collection from Contemporary Art to Dutch Masters to Egyptian artifacts - there really is something for everyone at the RISD Museum of Art. Those with a keen interest in art and historical artifacts will find it fascinating. Don't forget to explore Pendleton House, which has an incredible collection of American decorative art set up within the context of a period home.

The museum is fairly compact across multiple floors organized by theme. Although we were given a map and there are signs, I found the complex floor plans a little bit difficult to navigate. All of the staff were very friendly and approachable, and did their best to help us get around.

It is fully accessible, and although there is no parking on site, street parking is available nearby - we were there during the week, so parking was a bit limited, but we still managed to find a spot - not sure what it would be like on the weekend.",Couple 
2017/10,5,Amazing museum,"We were at the RISD Museum last October, and it ended up being one of the highlights of our New England tour. It is large enough to have a wide range of exhibits, and yet it is not overwhelming. The exhibits were well laid-out and the information about different pieces was excellent. As an amateur furniture maker (very amateur) I was thrilled to see examples of cabinetmaking by guys like Goddard and Townshend, whose pieces name command millions at auction.",couple
2018/06,3,Interesting museum with a bit of everything,"The primary reason I didn't give it more stars was because the section we started in contained many negative sentiments. Rather than making me think about the message they were trying to convey, there was so much negativity that it just really brought me down. It was hard for me to shake it. Granted, this was how the artists were feeling, but there is enough positive in the world that some of it could have been included in the displays. I loved the Egyptian, Greek, and Asian displays. The European Galleries included paintings by Cézanne, Degas, Manet, Matisse, Monet, Morisot, Picasso, and Van Gogh, which I also enjoyed. Non-flash photography is allowed. The cost per adult was $15, which I thought was a bit steep.",Family
2018/07,5,As good as a European museum,"This museum is outstanding. It’s a nice size and has some great art (Van Gogh, Renoir, Monet to name a few - seriously) plus Asian, Egyptian, Frank Lloyd Wright, special exhibits and a nice cafe. You won’t regret visiting.",Friends
2018/06,5,Something for all art lovers,"A wide range collection from antiquities to
contemporary art nicely displayed thru 5 buildings
We were told a good way to view was to go to top and work your way down— worked for us",
2018/06,4,A little bit of everything,"This is a great rainy day activity. There was a little bit of everything-ancient Chinese, Ancient Greek and Roman art, Egyptian, the classics, Impressionist and Modern and Contemporary. It left me wanting more. I’m not always a museum person, but I really enjoyed this.",Friends
2018/06,3,Interesting art,Went in for souvenirs and stayed for your different St work and interesting presentation you must like modern art to appreciate this place,
2018/06,5,"Huge diversity of art, as appropriate for an Art School!","There is a huge selection of art in the RISD Museum, from the classics to the cutting edge artists we've never heard of. They have fine European masters and art from South America, Africa and Asia. It is such a large museum, they don't really seem to compete for space, one just moves from one genre to another. The one secret is that you MUST save lots of time for the Museum store. They have so ma",Family
2018/07,5,Many Diverse types of art & Sundays are Free!,"Worth the visit, the Impressionist Art and Modern art displayed are some I've never seen. Getting around to specific departments is confusing and a lot of stairs, had to walk through the entire museum again when leaving. Student show was disappointing, I have seen much more creative and tasteful.",Couple
2017/07,5,Small museum with consistently excellent shows,"I have never taken anyone here who did not like this museum.
Small museum, excellent layout, warm staff.",couple
2018/05,5,Brilliant museum,Wonderful Museum which I would highly recommend.It is a great highlight of Providence which has really improved over the past 10 years.,
2018/05,4,What a marvelous museum!,"“My husband and I decided to stop in Providence and visit The RISD museum on our way to Narragansett. So glad we did. This museum has something for everyone and house much more than I expected. the Phantom of Liberty Contemporary Works exhibit included photos, prints and drawings that were very thought provoking. Do take the time to read the information next to the works because it is quite important for the understanding of the works. One must see this exhibit and form his/her own opinion of these incredible works. Beyond that, we also enjoyed the other permanent collections. There was an excellent historical American area with colonial rooms in beautiful furnishings. An ancient area had Greek, Egyptian and Roman works. In the European section we were surprised at the size of the Impressionist art. Costumes and Textiles were also well represented. This museum is truly worth seeing and you need to allow a good amount of time for exploring!”
",Couple 
2017/06,5,Outstanding!,"We are lucky to have RISD in RI! Such a spectacular museum you could spend hours in. It is a RI gem for sure. Go! Take you family, Friends and children. On Sundays it is free admission to the public! RISD will not disappoint!",Family
2018/05,5,Artists are grown here,"Think you’ve seen unusual, wacky, cutting-edge art? Come here and check out where it probably came from. Cozy campus straddles genteel Benefit Street and downtown. Great museum, fun store!",Family
2018/05,,Worth a visit,"My wife and I visited here to fill some time on an iffy weather day. The collector impressionist art made the stop well worthwhile. Additionally, there is a collection of a wealthy Providence resident that is housed in a replica of his original home. The collection includes his artwork, furnishings and other collectibles.

Our only disappointment was the exhibit of student art. The museum is part of the RISD (Rhode Island School of Design). If the presentation of “art” that we we observed is representative of the future of these artists, the school should shut down.",couple
2018/05,5,Great museum,"This is a very interesting museum with much to see. It's a little difficult to figure out where you are at times but the security guards are extremely helpful with guidance. There are several buildings tied together to form the museum so it can be tricky, but it is fun! Easy to go through and then make a trek through the Brown University campus.",couple
2018/04,4,Worth a Visit,This is a delightful museum with a variety of artworks ranging from classic (old) to contemporary to student art spread over several floors. Don't miss the huge wooden Buddha (in a room of its own in the Asian art area) or the little Jackson Pollack tucked behind a pillar in the modern art room. Well worth a visit.,couple
2018/02,5,One of the best art museums in New England,"RISD museum is excellent - a historic Providence house with some original decor, and a huge historic / modern art museum attached. Don't miss the big inner gallery with huge paintings and portraits; there are some amazing things there.",Couple
2018/04,5,BEST MUSEUM!!!,"I've been to museums all over the world, and this is truly my FAVORITE!!! They have an Egyptian mummy, Monet, Manet, Degas, Rodin, Warhol, a lion from Babylon.... etc., etc., etc. What's amazing is that they have a little bit of everything, and can be done in ONE visit!",Family
2018/04,4,You get easily lost - but nice collection,"It is a quite big museum - and you can get easily lost, because I think the signage is quite strange, or maybe not enough maps. Also it is a bit disorganized and there is no real connection between the different galleries, mixing eras and geographic zones.
But I appreciated the fact there was not only paintings but also sculpture and antic objects. The quality was overall very good.
Tip: Go there on Sunday because the entrance is free. Indeed even if I liked the museum I think the general price is quite expensive, compared to similar museums I have recently visited.",Friends
2018/02,5,Loved it,"Did not realize how many artifacts of historical relevance, it was really a treat. I thought it would only be art but I was mistaken",Family
2018/04,5,Excellent!!,We toured the museum and there is a wealth to see. Includes many many different art forms. Be sure to see the painting gallery for the Van Gogh!,couple
2018/04,4,Beautiful water line for a ealk,If you expect a review on its programs you can stop reading. This is about the campus and how beautiful and relaxing it is to enjoy a walk along the water line - park at 1 century plaza - get a coffee or something else and take a walk - beautiful,couple
2018/04,5,A gem!!!,RISD museum is truly a gem tucked away on the historic East Side. The exhibits are extensive yet small enough not to be overwhelming. It's a very peaceful place and the cafe is excellent too. Sundays the admission is free! Absolutely worth a visit.,Friends
2018/04,5,Prospective student,"“We visited RISD and participated in the prospective student info session and tour.
Staff was very informative and students were very helpful. The tour was about 1 1/2 hours long, touring dorms, the Met, library,
Nature Lab and illustration building. The student guides were respectful, informative and very friendly. The campus is clustered which makes for good student access. The fact that Brown offers many of their facilities to RISD students is awesome. We learned a lot and left with a threat impression of the programs and campus.”
",Family
2018/04,4,New Exhibits all the time,"Graduation season for Brown Univ., RISD., and Johnson and Wales University. All within walking distance to this great museum. A must see if Providence is on your to go list. A special treat for young and old as welll is the very popular “mummy”",
2018/03,5,"If I could give a 7 for rating, I would! Delightful!","RISD Museum continues to be top-notch! we were there Jan 2015 and much of the displays delighted me-again, or newly! Beautiful furniture design-a cherry music stand as eye-catching as a sculpture--some classics from mid-century 1900's still sharp and stand-out well-designed---but I also want to compliment the guides this time. We were given suggestions and offered assistance to see more of what we were obviously enjoying by several guides-and helped navigating some of the more confusing halls and connections between areas. All was done pleasantly and so helpfully-I was really impressed and grateful!",couple
2018/04,2,Not welcomed,"I like visiting art museums but my experience here is far from satisfactory. The museum itself is very small and exhibits are limited. But this is not fatal. The security guards were unfriendly and tried to stalk visitors as if they had a plan to steal the collections. This scares off many people, including us. The management should face this issue seriously.",Family
2017/10,5,The Little museum that could,The RISD museum is small compared to big city behemoths but it packs a big punch. It has a great ancient art collection and a number of interesting Impressionist pieces. There are a number of works by female artists. Great modern fashion and furniture collection.,Friends
2018/03,5,A Wonderful Museum,"I visited this museum on a Sunday and to my delight, it's actually free admission every Sunday. The museum is operated by the Design University and therefore some of the exhibits on display featured facility artwork which was different and unique to this museum. From the outside the museum doesn't look that big but it actually has 3.5 full floors dedicated to different works of art including a house which was built for the sole purpose of displaying furniture from the 1800s & 1900s. The museum features a little bit of everything including some new modern art with interesting concepts. It's a good way to spent anything from a couple of hours to an afternoon of your time depending on your interests. I would definitely recommend visiting this museum!",Solo
2018/03,5,Fantastic art,This place is incredible with all the works of art. Pieces from all over the world and local as well. Be sure to spend at least 2 hours to really enjoy the history here.,couple
2018/03,5,Wonderful Visit!,What a jewel! Happened upon this museum and was blown away at their permanent collection and the student /faculty exhibition. Lots of great energy!!,
2017/10,5,"Edgy art, creates inspired conversation with family","Edgy, would like more interactive art for the kids to indulge in, a few exhibits were creepyish but nothing we couldn’t laugh about. Will always frequent the RISD museum, loyalty for life.",Family
2018/03,5,a don't miss museum,"the RISD museum is a collection of interconnected buildings, culminating in an impressive new structure facing south main street. there is a wonderful coffee shop on the upper benefit street entrance side. the staff are particularly friendly and helpful. the permanent collection is small but impressive, and the changing exhibits are the reason to go. Great little gift shop as well.",couple
2017/07,4,An under appreciated art museum,A small museum but with an unexpectedly good collection. Mainly a teaching museum with examples from major artists and schools. The collection is primarily American art but with a few European masters. It includes newer examples from RISD faculty and grads (including Chihuly),
2017/11,5,One of best small museums in the country.,Well curated by Rhode Island school of design the museum has fine collections of art representative of all periods. Easy to add to schedule while visiting providence. Has a nice cafe and the museum guards are very knowledgable - many are artists who do this job as support for their own art.,Family
2018/02,5,"Art class at RISD

",Took a weekend class on techniques for painting Acrylic paints. Had a great time and it was inspiring. Highly recommended.,solo
2018/02,5,Wonderful museum,Their design collection is impressive. I didn’t expect to find high quality old master paintings and sculpture here.,Family
2018/02,5,"First visit, hope to visit again.","My sister and I visited this museum on a Sunday. What a lovely museum.
First off it was free on this particular Sunday.
They have a large, well curated collection. They even have a mummy!
We also attended a free concert given by a local group that teaches music to children in Providence. It was great, a really wonderful concert of various pieces for strings.
The building is very nice also.
Street parking to be found if you’re patient and can walk a bit. Area is steep and hilly.",Friends
2018/02,5,Great museum,"It’s the RISD museum. Despite its size, it has an impressive, well-curated collection. Well worth the visit. On Sundays it’s free!",Friends
2018/02,5,“Sunday’s no charge”,Since there was no charge on Sunday we decided to explore the RISD Museum. We were pleasantly surprised what a great museum this is. It’s sort of eclectic mix of new and old. The old section is like a house from the 1800’s filled with old paintings. We saw a Gilbert Stuart if George Washington along with many great furnishings of that period. We also saw a Renoir a Pollock along with student exhibits. It’s so large that after a couple of hours we agreed we’ll visit again. Such a great take with a nice cafe at the end. If you do visit parking even on Sunday can be a challenge.,couple
2018/02,4,Mirabile Dictu,"Both the variety and quality of artifacts on display a true the RISD museum of art make it a museum I wouldn’t like to visit on multiple occasions. The Asian collection, in particular, stands out for its Korean porcelains and Hindu imagery. Too, the Egyptian artifacts really sparkle with their superbly maintained colors and intricacy of hieroglyphs. Perhaps the standout items, though, are a massive wooden Buddha and a carved mantelpiece, both of which balanced delicacy and scale.",couple
2017/04,5,Small Choice Museum,The RISDI Museum is very special. The collection is highly varied and excellent and both the old and new sections of the Museum do justice to the art on display. Locals come again and again.,couple
2018/01,5,Great variety and free.,"The current exhibit on pen drawings included works by Rembrandt, Michaelangelo, Da Vinci, Picasso, Duhrer, Hockney,. I love how there simple lines evokes such life like images. The museum has quite a breadth of periods, form roman to modern. There are Gilbert Stuarts, furniture forom 1700's, porcelain figurines, ... Expect to spend the day there. Sunday is ideal as it is open to the public for $0.. Other days, show your Bank of America card for discount.",
2019/01,5,Wow,OK we had low expectations - Providence Museum experience at RISD. This place really blew us away. Great experience!,
2017/12,5,Neat special exhibit,The museum itself is wonderful. A hidden gem of Providence (see the wonderful Rotho). But current special exhibit which traces the various roles of drawing over the ages is also well worth seeing Since last July there is also a Bolt Coffee cafe with light food at the Benefit Street entrance- a nice place to relax,couple
2017/12,5,WOW,"I was just looking for an activity to escape the snow and I did not expect to find such a wonderful museum. They have a nice collection and the current ‘Drawing’ exhibit was amazing. They also had a nice cafe that provided a nice, warm pick me up about half way through.",solo
2017/08,5,Stunning museum,Such a vast museum with such an interesting array of exhibitions. I very much recommend a visit here.,solo
2017/11,5,A stop whenever I am in Providence,"This is a gem of a museum. The art they have is wonderful and new exhibits are
always curated beautifully.
Make sure that you stop by.",Family
2017/12,5,Bday trip to Providence,"Don't miss this great museum. We were lucky to catch a special exhibit from Great Britain. Saw drawings by masters including da Vinci, Picasso, Rembrandt, Rubens, Vicor Hugo, Michael Landy, etc etc Also saw some of regular exhibits, some from Rockefeller. Saw Renoir, VanGogh, etc etc Gorgeous Asian drawings by Kunisada.
Ate tasty bite for lunch at cafe in museum. The bread was just incredible! Very filling yet not gigantic so you could later indulge at dinner.
Highly recommended. Got there 1st Saturday and was able to enjoy discounted entry, too!",couple
2017/08,5,Very good museum,"A must-do for art lovers and beyond. A lot of variety, including furniture and other non-traditional media.",
2016/12,4,Lots to see,"Great museum, was here many years ago on a school trip, and there was just so much to see and take in . Would come here again with out a doubt !",Friends 
2017/11,5,Rhode Island School of Design Museum of Art,"This is a must see and do place if visiting the Providence, RI area. We went there after reading the reviews and were not disappointed. I love the exhibits, art galleries, student gallery display and all the people were so polite and answered all of our questions. If you like art, then please spend a few hours and see all the paintings and art work that is displayed over the last few centuries. WOW !!!!!!!!",couple
2016/11,5,Well worth a visit,"The museum has many unique exhibits. An Egyptian mummy, a Buddha and many others. It’s a hidden gem near Brown University.",Family
2017/10,5,Wow!,"I had no idea of the scope of well known artists & periods.I was blown away-not expecting!Saw Monet,Manet,Degas,Warhol etc etc!!Definitely need to return!",Family
2017/11,5,Very eclectic collection of art,"We went to RISD on the recommendation of our gondalier. Several floors of art exhibits - furniture, textiles, sculpture, porcelein, ancient aritifacts and art, and paintings. Well worth the admission price",
2017/10,4,Impressive museum,"The museum is larger than we expected, and quite sprawling. We spent a good 3 hours wandering through the exhibits, which were varied--everything from furniture to impressionist painters, to ancient Greek urns to minimalist art.",couple
2016/10,4,Surprisingly lots of interesting exhibits,"We made it up the hill (several times thanks to metered parking time limits) to visit this lovely museum courtesy of the Bank of America monthly museums on us perk. Surprisingly one of my Friends was also able to snag a free ticket for her SO even though he did not have a BoA card. I was not expecting much from this museum in terms of size and variety since it's part of RISD campus, but there are countless interesting works of art. I even felt tired during a portion of walking around that I retreated to the seating area where they were playing some of their student film creations on the lower level.

I think one of our favorite pieces was the 3D painting which is basically created with several hundreds of layers stacked on top of each other and the chrome almost makes it look like a mountain of paper clips. They also have some ancient art work and coins in one of the other rooms which is always fascinating to read about.

One of the parts that I'm confused about was the parking since on the website it sounded like visitors are able to use the staff parking since they're obviously not working, but it wasn't really clearly labeled. We didn't want to risk a ticket so we just found a metered spot a few streets down slightly lower on the hill.",Friends
2017/10,5,Always Great,"It's been four years since my last visit and as always great to go back here. Should be a ""must"" on any visit to Providence. There are 6 levels, that include Modern & Contemporary, European, Egyptian, Decorative Arts & Design, 18th & 19th Century American. They also have a cafe offering drinks and delicious eats.",Friends
2017/10,5,Rich Museum Experience,"I think of a museum visit as the perfect pastime - culturally enriching, socially expansive, intellectually stimulating, and sensually engaging. The RISD Museum is one that I'd often heard of and never visited even though Providence is only an hour and a half drive from my home. I loved this wonderful small museum and reveled in the experience of discovering its fine collection.

The building is state-of-the-art with climate control, natural lighting in some of the galleries, and an entire China Trade House incorporated into the museum. The collection is rich, particularly in the area of decorative arts. There is lots of silver, porcelain, furniture, and sculpture, particularly in the Charles Pendleton House. The house itself is beautifully restored and serves as a showcase for a sumptuous collection of 18th and 19th century American furniture and decorative arts. Goddard, Townsend, Seymour, Phyfe, Allison, and dozens of other famed makers are represented.

There are also galleries dedicated to Greek, Roman, and Egyptian art - Nice. Painting galleries aren't as comprehensive, though lovely things are on exhibit - some French Impressionists, some Renaissance Italian art, some French Academic things, a very fine Lawrence portrait, a Tiepolo ceiling fresco, and very fine Asian arts. I thought the American painting collection outstanding.

Overall, I enjoyed myself and immersed myself in the collection. I particularly liked the juxtaposition of costume, porcelain, silver, painting, and other disciplines in the same galleries. Very enjoyable. I'd recommend a visit to this museum to anybody. Enjoy!",Friends
2017/10,5,Outstanding place to visit,"Excellent place to spend few hours enjoying art from different corners of the world and time periods. Beautiful collections. We especially enjoyed the staging of colonial period living quarters, truly takes you back in time. Plan for 3 hour visit if you want to see every exhibit and read through some of the works but you can make almost a day out of it if you wanted to. There is a coffee shop at the entrance with some light food. Parking outside is limited to 2 hours so you might want to look for some spot further away without time limit since 2 hours not nearly enough. Sundays are free to enter.",couple
2017/10,5,Just across the Providence River,"While Providence itself may seem small, RISD museum and the RSID community is rich full of art and theory (No surprise there). This museum and its location really showcases the talent and art making of RISD students, alumni, artists and makers. The museum houses Ancient Roman work to Joan Mitchell and David Hockney (Two of my favorite artists). It also is home to current student bodies of work. They do offer student discounts even to out of state students (valid ID must be shown) and you can photograph the work. The museum also has a Cafe in between floors with great music in the background along to with some coffee.",solo
2017/10,5,Not What I Expected...Better!,"We happened in on a ""free"" Sunday, but we would have paid, it is a wonderful museum! The breadth of variety in the collections surprised me. There truly is something for everyone. I saw people sketching the masters as well as modern art, and access to the historic home next door...brilliant! The gallery spaces within the house are wonderful as well. We arrived a little late in the day, but had a full two hours and it was JUST shy of enough time to really enjoy, we rushed at the end to not be shuttled out the door at closing!",
2017/02,5,Hidden Gem,"This small museum belonging to the Rhode Island School of Design is a fascinating place to spend an afternoon. From Master painters to mummys, there is something interesting around each corner.",Friends
2017/09,4,Great museum in an unlikely place!,"When you come to Providence you'll hear the name of two schools: RISD and Brown. Of course when you come visit one, you'll inevitably see the other as they are right next to each other (essentially the same campus!). Anyways, as you probably figured, they have an art museum of an eclectic array of different forms of art.

To be honest, I am not the most ""artsy"" person ever, but I try to appreciate the work and thought that is put into each piece. Unless you're a member of the museum, a Brown or RISD student, you'll have to pay a fee to come visit the museum.

The museum is HUGE and you can easily get lost. Even just walking through will take a couple of hours. There are several floors and don't forget to see the student display on the second floor. That was by far my favorite but not technically a part of the museum. I just wish they put more student art on display! On your way out on the first floor stop by the gift store and take a look at all the cool things they have for display. You don't have to buy (but it'll be difficult not to), but just come to window shop!!",Couple 
2017/09,5,Wow,"I was not expecting such a wide range of artistic talent to be displayed here. It has paintings from many eras, sculpture, modern design, and much more. I was impressed. It can compete with museums in NYC.",Business
2017/10,5,Sunday Freebie,Great museum with quite the variety of items. Staff was friendly and informative. I was glad to leave a donation when I left :),Friends
2017/09,5,Awesome,A jewel where least expected. Make time - a couple hours will hardly be enough - and you'll love it.,business
2017/09,4,"Outstanding assortment, thoughtfully presented","This is not a museum, I told my family; this is a curriculum. That was a compliment. The range of art and especially the presentation are designed to educate and inspire. We enjoyed the eclectic assortment of art exploring the relationship of humans and nature and especially appreciated the chance to pull out drawers to look at the textile and costume displays. Not huge, not comprehensive, but not intimidating or overwhelming.",Friends
2017/09,5,A pleasurable visit,"Wonderful way to spend a few hours in Providence. Housed in five buildings, the museum galleries are fun to walk through for the architecture and interior design as well as to view the collection and exhibitions. The shop offers cool works by new artists as well as the usual museum shop products. There is free admission on Sundays!",couple
2017/08,5,A fabulous museum,"The RISD Museum of Art has an assortment of collections. There is a room with table china - pitcher collections and such. There are several portrait and painting galleries. There is a whole floor of fully furnished rooms, I believe from the Pendelton collection. There are several rooms of ancient Egyptian artifacts, , even a mummy. There is also a whole room of Budda's. They do have RISD student work on exhibit, as well. My recommendation is that you give yourself plenty of time, 2 to 3 hours, if you are the type who like to browse and linger.",Friends
2017/08,5,Wonderful Museum,"Really enjoyed this museum. There is a great variety of artwork and artifacts on display. Something for everyone. I also liked that they had an area that displayed the work of students. The girl working at the front desk was very friendly and helpful. This museum is much larger than I anticipated, so you should give yourself at least 2-3 hours to see the whole thing. Parking was a bit of a hassle. I had to park a few streets uphill from the museum. This is a must-see while you are in Providence.",couple
2017/09,4,Very enjoyable,"Impressive to see such a collection in a university. Names like Pollack, Rembrandt, Rodin, Toulouse Lautrec, Rothko to name but a few. The collection covers a wide range to suit most people's Interest. There is a food facility there as well.",couple
2017/09,5,Interesting museum,arts and other exhibits which are highly valued is appealing and definitely worth a visit.,Family
2017/07,5,"Excellent cultural & artistic attraction in downtown Providence, RI","We visited here with family and Friends (including young children) and everyone had a good time. There's lots to see on various floors/levels so allow yourself ample time to explore and see everything. There was art from various world regions on display and also modern art presented by RISD students. If you're looking for a unique and artistic cultural attraction in Providence, Rhode Island then come visit the RISD Museum of Art. There's a gift shop on the bottom floor and elevators or stairs to get between levels/floors. There's a cafe on site as well. I found it easy to get lost in this place and so it was helpful that they had staff located at various points in the museum in order to ask how to get to certain areas. The ancient Greek and Egyptian art and artifacts was a highlight for me. The Asian art and artifacts were also very interesting.",Family
2017/08,4,Great Smaller Museum,"A wonderful art museum that you can spend a morning or afternoon in. The collection is diverse and there are some very unique pieces (the largest wooden Buddha sculpture in the US, for example). The staff are friendly and helpful to navigate the building, which can be confusing to walk around. I would highly recommend visiting on a Sunday, when admission is free and you have more time to view all the exhibits.",Couple
2017/08,5,Went to check out the museum,Really enjoyed the visit. The student exhibit is really fun and in the museum/museum - the art descriptions are really well executed.,business
2017/08,3,Worth the visit,"The museum is a little hard to navigate even with a map, but there are employees stationed throughout. Exhibits are in various rooms, some of which require moving from one level to another on the same floor. Consequently, it might be hard for someone in a wheelchair, though not impossible. There's a wide variety of incredible art with great descriptions. I learned a lot. For the average visitor, you could probably see everything in about 2 hours without rushing. Free locker use. Small cafe with coffee and a few pastries. The outdoor garden was a peaceful getaway with seating. If I lived here, I'd probably visit the museum often.",business
2017/08,3,Didn't quite meet the hype,"Before visiting Providence I was very interested in ""things to do,"" & the RISD museum was consistently near the top of the list. I enjoy spending a few hours in a museum, so I was excited to go. The collection is very diverse, and there are certainly some extraordinary pieces scattered throughout. But overall I was a little underwhelmed. Perhaps I'm too accustomed to the museums in bigger cities. It was a worthwhile visit, but hardly the highlight of my trip.",solo
2017/08,4,Interesting and Eclectic Collection,"There is quite a variety of art and artifacts on display, from Egyptian and Ancient Greek to contemporary. There is an extensive exhibit of etchings which includes a description of technique. There are also works by Monet, Degas, Toulouse Lautrec and others prominent 19th century artists. It is worth a visit and has an interesting museum shop, as well.",Friends
2017/08,5,Fabulous boutique museum,"A small museum that has some amazing pieces - a wonderful unknown Van Gogh a great collection o german porcelain, and some absolutely beautiful sculptures and impressionist paintings. A must go to museum if you are in Providence.",Friends
2017/08,5,Worth Seeing,We visited this Museum and leisurely walking in the three attached buildings took over 3 hours to see everything. You can take photos without a flash. We particularly liked the impressionist exhibit with works by may famous artists. There is a series of elevators which go to different floors making it easy for all to view.Student art works were on display in their own gallery. Another exhibit compared student creations to Japanese and chinese robes. Definitely worth your time.,
